module,node_id,object_name,object_type,method_count
"groggy",1,"BaseTable","BaseTable",33
"groggy",2,"NodesTable","NodesTable",29
"groggy",3,"EdgesTable","EdgesTable",34
"groggy",4,"GraphTable","GraphTable",20
"builtins",5,"BaseArray","BaseArray",15
"builtins",6,"Graph","Graph",58
"builtins",7,"Nodes","NodesAccessor",7
"builtins",8,"Edges","EdgesAccessor",6
"builtins",9,"ComponentsArray","ComponentsArray",7
"builtins",10,"Subgraph","Subgraph",55
"builtins",11,"GraphArray","NumArray",13
"builtins",12,"Matrix","GraphMatrix",84